Tarifa,Tipo Traslado,Origen,Destino,Tipo Vehículo,Precio,Notas
Económico,Aeropuerto,(AGU) Aeropuerto Internacional de Aguascalientes,San Miguel de Allende,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(AGU) Aeropuerto Internacional de Aguascalientes,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(AGU) Aeropuerto Internacional de Aguascalientes,San Miguel de Allende,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(AGU) Aeropuerto Internacional de Aguascalientes,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(AIFA) Aeropuerto Internacional Felipe Angeles,San Miguel de Allende,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(AIFA) Aeropuerto Internacional Felipe Angeles,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(AIFA) Aeropuerto Internacional Felipe Angeles,San Miguel de Allende,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(AIFA) Aeropuerto Internacional Felipe Angeles,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(BJX) Aeropuerto Internacional de Leon,San Miguel de Allende,SEDAN,1926,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(BJX) Aeropuerto Internacional de Leon,SEDAN,1926,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(BJX) Aeropuerto Internacional de Leon,San Miguel de Allende,VAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(BJX) Aeropuerto Internacional de Leon,VAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(GDL) Aeropuerto Internacional de Guadalajara,San Miguel de Allende,SEDAN,6420,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(GDL) Aeropuerto Internacional de Guadalajara,SEDAN,6420,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(GDL) Aeropuerto Internacional de Guadalajara,San Miguel de Allende,VAN,13642.5,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(GDL) Aeropuerto Internacional de Guadalajara,VAN,13642.5,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(MEX) Aeropuerto Internacional Benito Juarez,San Miguel de Allende,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(MEX) Aeropuerto Internacional Benito Juarez,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(MEX) Aeropuerto Internacional Benito Juarez,San Miguel de Allende,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(MEX) Aeropuerto Internacional Benito Juarez,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(MLM) Aeropuerto Internacional de Morelia,San Miguel de Allende,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(MLM) Aeropuerto Internacional de Morelia,SEDAN,5350,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,(MLM) Aeropuerto Internacional de Morelia,San Miguel de Allende,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
Económico,Aeropuerto,San Miguel de Allende,(MLM) Aeropuerto Internacional de Morelia,VAN,9095,LAS TARIFAS INCLUYEN PAGO DE DERECHO DE PISO
