Tarifa,Destino,Tipo de Vehículo,Precio,Duración,Min,Max
Premium,San Miguel de Allende,SEDAN,952.72,2,,
Premium,Atotonilco,SEDAN,952.72,3,,
Premium,Dolores Hidalgo,SEDAN,952.72,4,,
Premium,Guanajuato,SEDAN,952.72,6,,
Premium,Mineral de Pozos,SEDAN,952.72,4,,
Premium,Querétaro,SEDAN,952.72,5,,
Premium,Cañada de la Virgen (no incluye entradas),SEDAN,952.72,4,,
Premium,Walking Tour San Miguel de Allende,SEDAN,952.72,2,1,5
Premium,San Miguel de Allende,SUBURBAN,1271.23,2,,
Premium,Atotonilco,SUBURBAN,1271.23,3,,
Premium,Dolores Hidalgo,SUBURBAN,1271.23,4,,
Premium,Guanajuato,SUBURBAN,1271.23,6,,
Premium,Mineral de Pozos,SUBURBAN,1271.23,4,,
Premium,Querétaro,SUBURBAN,1271.23,5,,
Premium,Cañada de la Virgen (no incluye entradas),SUBURBAN,1271.23,4,,
Premium,Walking Tour San Miguel de Allende,SUBURBAN,2046.53,2,6,10
Premium,San Miguel de Allende,SUBURBAN,1818.83,2,,
Premium,Atotonilco,SUBURBAN,1818.83,3,,
Premium,Dolores Hidalgo,SUBURBAN,1818.83,4,,
Premium,Guanajuato,SUBURBAN,1818.83,6,,
Premium,Mineral de Pozos,SUBURBAN,1818.83,4,,
Premium,Querétaro,SUBURBAN,1818.83,5,,
Premium,Cañada de la Virgen (no incluye entradas),SUBURBAN,1818.83,4,,
Premium,Walking Tour San Miguel de Allende,SUBURBAN,2770.25,2,11,15
Green Class,San Miguel de Allende,MODEL 3,925.72,2,,
Green Class,Atotonilco,MODEL 3,925.72,3,,
Green Class,Dolores Hidalgo,MODEL 3,925.72,4,,
Green Class,Guanajuato,MODEL 3,925.72,6,,
Green Class,Mineral de Pozos,MODEL 3,925.72,4,,
Green Class,Querétaro,MODEL 3,925.72,5,,
Green Class,Cañada de la Virgen (no incluye entradas),MODEL 3,925.72,4,,
Green Class,San Miguel de Allende,MODEL Y,1271.23,2,,
Green Class,Atotonilco,MODEL Y,1271.23,3,,
Green Class,Dolores Hidalgo,MODEL Y,1271.23,4,,
Green Class,Guanajuato,MODEL Y,1271.23,6,,
Green Class,Mineral de Pozos,MODEL Y,1271.23,4,,
Green Class,Querétaro,MODEL Y,1271.23,5,,
Green Class,Cañada de la Virgen (no incluye entradas),MODEL Y,1271.23,4,,
First Class,San Miguel de Allende,SEDAN,925.72,2,,
First Class,Atotonilco,SEDAN,925.72,3,,
First Class,Dolores Hidalgo,SEDAN,925.72,4,,
First Class,Guanajuato,SEDAN,925.72,6,,
First Class,Mineral de Pozos,SEDAN,925.72,4,,
First Class,Querétaro,SEDAN,925.72,5,,
First Class,Cañada de la Virgen (no incluye entradas),SEDAN,925.72,4,,
First Class,San Miguel de Allende,SUBURBAN,1337.5,2,,
First Class,Atotonilco,SUBURBAN,1337.5,3,,
First Class,Dolores Hidalgo,SUBURBAN,1337.5,4,,
First Class,Guanajuato,SUBURBAN,1337.5,6,,
First Class,Mineral de Pozos,SUBURBAN,1337.5,4,,
First Class,Querétaro,SUBURBAN,1337.5,5,,
First Class,Cañada de la Virgen (no incluye entradas),SUBURBAN,1337.5,4,,
